[ 남양주진건지구S-1BL공동주택건설공사 ],,,,,,,,,,,,,,,,
품      명,규      격,단위,내     역     서,,,,,,,,,비  고,,,,
★거터설치/램프지붕,"SSTL,400+600+400",M,23,"130,284","2,996,532","50,248","1,155,704","5,577","128,271","186,109","4,280,507",,,,,
★거터설치/램프지붕,"SSTL,400+210+400",M,69,"130,284","8,989,596","50,248","3,467,112","5,577","384,813","186,109","12,841,521",,,,,
석재뿜칠,벽,M2,95,"7,469","709,555","8,536","810,920",-,-,"16,005","1,520,475",,,,,
★루프드레인/ 주철제,D100mm(수직형),개소,4,"22,024","88,096","7,858","31,432","1,570","6,280","31,452","125,808",,,,,
★스테인레스 선홈통 설치,"D-100,T:1.5mm",M,7,"15,002","105,014","5,355","37,485","1,064","7,448","21,421","149,947",,,,,
쇠흙손마감,,M2,192,-,-,"2,090","401,280",-,-,"2,090","401,280",,,,,
■■■  재활용품보관소,,,,,-,,-,,-,-,-,,,,,
철근콘크리트용봉강,"철근콘크리트용봉강, 이형봉강(SD500), HD-10, 지정장소도",톤,,,-,,-,,-,-,-,,,,,
레미콘,"레미콘, 서울 및 경기 일부지역, 25-18-08",M3,,,-,,-,,-,-,-,,,,,
레미콘,"레미콘, 서울 및 경기 일부지역, 25-24-15",M3,,,-,,-,,-,-,-,,,,,
합판 거푸집 설치 및 해체,"3회 사용시, 0~7m까지",M2,,,-,,-,,-,-,-,,,,,
철근 공장 가공 및 현장 조립,보통(미할증),TON,,,-,,-,,-,-,-,,,,,
무근콘크리트타설,슬럼프8-12,M3,,,-,,-,,-,-,-,,,,,
철근콘크리트타설,슬럼프 15,M3,,,-,,-,,-,-,-,,,,,
"재활용품보관소구조틀 제작설치/마감,자재별도",ㅁ-100*100*2.3T=23.84M ㅁ-75*75*2.3T=80.514,개소,,,-,,-,,-,-,-,,,,,
콘크리트벽돌,"190*57*90mm, C종2급",매,,,-,,-,,-,-,-,,,,,
시멘트벽돌(0.5B 공간쌓기),1층 소운반,M2,,,-,,-,,-,-,-,,,,,
재활용품보관소 폴리카보네이트창설치,"6T투명,SUS 틀포함 3840*1050=4.032",EA,,,-,,-,,-,-,-,,,,,
재활용품보관소 폴리카보네이트창설치,"6T투명,SUS 틀포함 4340*1050=4.557",EA,,,-,,-,,-,-,-,,,,,
목재루버 설치/재활용품보관실,"외벽,T50@150,1340*2000 틀+마감포함",개소,,,-,,-,,-,-,-,,,,,
목재루버 설치/재활용품보관실,"외벽,T50@150,1340*2300 틀+마감포함",개소,,,-,,-,,-,-,-,,,,,
AL Sheet D 설치,"외벽, T00, 틀+코킹포함 (단열포함여부는 확인요망)",M2,,,-,,-,,-,-,-,,,,,
백페인트 글라스 설치,"5mm,백페인트 글라스 틀 포함",M2,,,-,,-,,-,-,-,,,,,
쇠흙손마감,,M2,,,-,,-,,-,-,-,,,,,
모르타르 바름,"외벽, 18mm",M2,,,-,,-,,-,-,-,,,,,
에폭시코팅,바닥,M2,,,-,,-,,-,-,-,,,,,
석재뿜칠 B,앤틱그레이 계열,M2,,,-,,-,,-,-,-,,,,,
석재뿜칠 C,포천석 계열,M2,,,-,,-,,-,-,-,,,,,
시멘트,40KG,포,,,-,,-,,-,-,-,,,,,
모래,,M3,,,-,,-,,-,-,-,,,,,
■■■  재활용품보관소,,,,,-,,-,,-,-,-,,,,,
철근콘크리트용봉강,"철근콘크리트용봉강, 이형봉강(SD500), HD-10, 지정장소도",톤,,,-,,-,,-,-,-,,,,,
철근콘크리트용봉강,"철근콘크리트용봉강, 이형봉강(SD500), HD-16, 지정장소도",톤,,,-,,-,,-,-,-,,,,,
레미콘,"레미콘, 서울 및 경기 일부지역, 25-18-08",M3,,,-,,-,,-,-,-,,,,,
레미콘,"레미콘, 서울 및 경기 일부지역, 25-27-15",M3,,,-,,-,,-,-,-,,,,,
합판 거푸집 설치 및 해체,"3회 사용시, 0~7m까지",M2,,,-,,-,,-,-,-,,,,,
철근 공장 가공 및 현장 조립,보통(미할증),TON,,,-,,-,,-,-,-,,,,,
무근콘크리트타설,슬럼프8-12,M3,,,-,,-,,-,-,-,,,,,
철근콘크리트타설,슬럼프 15,M3,,,-,,-,,-,-,-,,,,,
"재활용품보관소구조틀 제작설치/마감,자재별도","ㅁ-80*80,ㅁ-80*40,ㅁ-60*40,ㅁ-50*30 STS PIPE(우레탄도장)",개소,,,-,,-,,-,-,-,,,,,
하드우드 접이식문,"W:2500*H:2200,ㅁ-60*60(오일스테인),ㅁ-60*20 STS PIPE(우레탄도장)",개소,,,-,,-,,-,-,-,,,,,
강화유리 설치,"8mm, 지정시트 부착",M2,,,-,,-,,-,-,-,,,,,
아키라이트 설치,"10mm, BROWN색상",M2,,,-,,-,,-,-,-,,,,,
H.P.L 설치(멜라민압축판넬),"8mm, 지정색",M2,,,-,,-,,-,-,-,,,,,
쇠흙손마감,,M2,,,-,,-,,-,-,-,,,,,
에폭시코팅,바닥,M2,,,-,,-,,-,-,-,,,,,
■■■  쓰레기처리장,,,,,-,,-,,-,-,-,,,,,
쓰레기처리장,4000*4000,식,,,-,,-,,-,-,-,,,,,
■■■  재활용품보관창고,,,,,-,,-,,-,-,-,,,,,
강관동바리 손료,"H=3.5M이하, 일반 1개월",M2,415,"1,100","456,500","1,650","684,750",-,-,"2,750","1,141,250",,,,,
"건축물보양 - 석재,타일",하드롱지,M2,195,731,"142,545",522,"101,790",,-,"1,253","244,335",,,,,
철근콘크리트용봉강,"철근콘크리트용봉강, 이형봉강(SD500), HD-10, 지정장소도",톤,12,"816,250","9,880,706",-,-,-,-,"816,250","9,880,706",,,,,
철근콘크리트용봉강,"철근콘크리트용봉강, 이형봉강(SD500), HD-13, 지정장소도",톤,3,"803,750","2,141,190",-,-,-,-,"803,750","2,141,190",,,,,
철근콘크리트용봉강,"철근콘크리트용봉강, 이형봉강(SD500), HD-16, 지정장소도",톤,10,"822,500","8,290,800",-,-,-,-,"822,500","8,290,800",,,,,
레미콘,"레미콘, 서울 및 경기 일부지역, 25-18-08",M3,19,"60,950","1,158,050",-,-,,-,"60,950","1,158,050",,,,,
레미콘,"레미콘, 서울 및 경기 일부지역, 25-21-15",M3,261,"68,904","17,983,944",,-,,-,"68,904","17,983,944",,,,,
합판 거푸집 설치 및 해체,"3회 사용시, 0~7m까지",M2,558,"10,500","5,859,000","27,720","15,467,760",-,-,"38,220","21,326,760",,,,,
합판 거푸집 설치 및 해체,"4회 사용시, 0~7m까지",M2,169,"10,500","1,774,500","27,720","4,684,680",-,-,"38,220","6,459,180",,,,,
유로폼 설치 및 해체,"벽, 0~7m까지",M2,979,"10,500","10,279,500","30,240","29,604,960",-,-,"40,740","39,884,460",,,,,
철근 공장 가공 및 현장 조립,보통(미할증),TON,24,"33,000","795,960","253,000","6,102,360","71,500","1,724,580","357,500","8,622,900",,,,,
운반비(트레일러20톤),철근 L:20km,TON,25,-,-,-,-,"18,000","447,282","18,000","447,282",,,,,
철강설,"철근, 작업설부산물",TON,-1,"253,000","-163,944",-,-,-,-,"253,000","-163,944",,,,,
무근콘크리트타설,슬럼프8-12,M3,19,-,-,"5,775","109,725","4,620","87,780","10,395","197,505",,,,,
철근콘크리트타설,슬럼프 15,M3,258,-,-,"5,775","1,489,950","4,620","1,191,960","10,395","2,681,910",,,,,
쇠흙손마감,,M2,386,-,-,"2,090","806,740",-,-,"2,090","806,740",,,,,
국부 액체방수,벽,M2,126,"1,800","226,800","3,600","453,600",-,-,"5,400","680,400",,,,,
"테라죠판붙임(습식, 일반)","바닥, T25mm, 모르타르 25mm",M2,195,"12,270","2,392,650","14,404","2,808,780",533,"103,935","27,207","5,305,365",,,,,
콘크리트면 정리,벽,M2,494,-,-,"2,970","1,467,180",,-,"2,970","1,467,180",,,,,
콘크리트면 정리,천정,M2,389,-,-,"2,970","1,155,330",,-,"2,970","1,155,330",,,,,
스타코(재활용보관창고),외벽,M2,531,"7,469","3,966,039","8,536","4,532,616",-,-,"16,005","8,498,655",,,,,
수성페인트(로울러칠),내벽 2회. 1급,M2,368,479,"176,272",693,"255,024",-,-,"1,172","431,296",,,,,
수성페인트(로울러칠),내천정 2회. 1급,M2,195,479,"93,405",693,"135,135",-,-,"1,172","228,540",,,,,
걸레받이용 페인트칠,"모르타르면, 2회(붓칠)",M2,17,426,"7,242","5,335","90,695",-,-,"5,761","97,937",,,,,
우레탄방수,"벽, 비노출 2MM",M2,196,"10,500","2,058,000","4,275","837,900",712,"139,552","15,487","3,035,452",,,,,
우레탄도막방수,"바닥, 비노출 3MM",M2,192,"10,500","2,016,000","4,275","820,800",712,"136,704","15,487","2,973,504",,,,,
우레탄도막방수,"벽 , 노출 (T=3MM)",M2,75,"12,825","961,875","4,987","374,025",712,"53,400","18,524","1,389,300",,,,,
방수보호시트,"바닥, T5",M2,192,"1,650","316,800","1,100","211,200",,-,"2,750","528,000",,,,,
방수보호시트,"벽, T5",M2,196,"1,650","323,400","1,100","215,600",,-,"2,750","539,000",,,,,
섬유보강재,,M3,19,"4,180","79,420","1,100","20,900",-,-,"5,280","100,320",,,,,
신축줄눈,"옥상, SAW CUT+코킹",M3,581,"1,045","607,145","2,090","1,214,290",-,-,"3,135","1,821,435",,,,,
루프드레인/ 주철제,D50mm(L형),개소,2,"25,260","50,520","9,015","18,030","1,798","3,596","36,073","72,146",,,,,
루프드레인/ 주철제,D75mm(L형),개소,9,"37,720","339,480","13,472","121,248","2,688","24,192","53,880","484,920",,,,,
스텐상자홈통설치,250*250*250*1.5t,EA,11,"28,232","310,552","10,082","110,902","2,016","22,176","40,330","443,630",,,,,
빗물받이불록,410*510*940,EA,11,"16,500","181,500",-,-,-,-,"16,500","181,500",,,,,
스테인리스 선홈통 설치,"D-50,T:1.5mm",M,6,"15,002","90,012","5,355","32,130","1,064","6,384","21,421","128,526",,,,,
스테인리스 선홈통 설치,"D-75,T:1.5mm",M,29,"15,002","435,058","5,355","155,295","1,064","30,856","21,421","621,209",,,,,
시멘트,40KG,포,99,"4,500","445,500",-,-,-,-,"4,500","445,500",,,,,
모래,,M3,6,"16,800","100,800",-,-,-,-,"16,800","100,800",,,,,
재활용보관창고,건식 + 목재/석재,식,-,"144,900,000",-,"62,100,000",-,-,-,"207,000,000",-,,,,,
■■■  소화송수관,,,,,-,,-,,-,-,-,,,,,
콘크리트벽돌,"190*57*90mm, C종2급",매,627,49,"30,723",,-,,-,49,"30,723",,,,,
시멘트벽돌(0.5B 쌓기),1층 소운반,M2,8,-,-,"11,755","94,040",,-,"11,755","94,040",,,,,
화강석/소화송수관,"고흥석 물갈기, 50mm",M2,2,"46,546","93,092",-,-,"3,069","6,138","49,615","99,230",,,,,
화강석/소화송수관,"고흥석 물갈기, 30mm",M2,10,"33,247","332,470",-,-,"3,069","30,690","36,316","363,160",,,,,
화강석/소화송수관,"고흥석 잔다듬 음각, 5mm",M2,1,"33,247","33,247",-,-,"3,069","3,069","36,316","36,316",,,,,
황동판 부착/소화송수관,"벽,1400*300",개소,2,"10,230","20,460","31,201","62,402","2,557","5,114","43,988","87,976",,,,,
석재벽체시공비(t=30mm)/소화송수관,"벽,건식(스텐앙카,코킹포함)",M2,12,"10,230","122,760","31,201","374,412","2,557","30,684","43,988","527,856",,,,,
시멘트,40KG,포,2,"4,500","9,000",-,-,-,-,"4,500","9,000",,,,,
모래,,M3,1,"16,800","16,800",-,-,-,-,"16,800","16,800",,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[ 합           계 ],,,,,"222,409,373",,"176,688,474",,"12,635,236",,"411,733,083",,,,,
010311  미  장  공  사,,,,,,,,,,,,,,,,
모르타르 바름,"내벽, 15mm",M2,231,-,-,"6,270","1,448,370",-,-,"6,270","1,448,370",,,,,
모르타르 바름,"계단, 30mm",M2,89,-,-,"10,450","930,050",-,-,"10,450","930,050",,,,,
쇠흙손마감,,M2,"2,411",-,-,"2,090","5,038,990",-,-,"2,090","5,038,990",,,,,
기계쇠흙손마감,POWER TROWEL,M2,"53,291",-,-,"2,090","111,378,190",-,-,"2,090","111,378,190",,,,,
지하주차장 램프바닥 문양처리,콘크리트면,M2,641,-,-,"13,585","8,707,985",-,-,"13,585","8,707,985",,,,,
콘크리트면 정리,벽,M2,"21,004",-,-,"2,970","62,381,880",-,-,"2,970","62,381,880",,,,,
콘크리트면 정리,천정,M2,"1,260",-,-,"2,970","3,742,200",-,-,"2,970","3,742,200",,,,,
시멘트모르터 충전,창호주위,M,"1,350",-,-,"1,045","1,410,750",-,-,"1,045","1,410,750",,,,,
창문틀 주위 충전,발포우레탄 충전,M,"1,531",-,-,"1,045","1,599,895",-,-,"1,045","1,599,895",,,,,
[ 합           계 ],,,,,-,,"196,638,310",,-,,"196,638,310",,,,,
010312  창호 및 유리공사,,,,,,,,,,,,,,,,
도어클로저,"도어클로저, K-1830, KS3호, 고급스톱형, 40∼65kg",조,88,"34,650","3,049,200",-,-,-,-,"34,650","3,049,200",,,,,
피벗힌지,"피벗힌지, 65kg이하, K1100",조,165,"12,870","2,123,550",-,-,-,-,"12,870","2,123,550",,,,,
도어핸들,"도어핸들, 공정",조,44,"5,445","239,580",-,-,-,-,"5,445","239,580",,,,,
도어핸들,"도어핸들, KNOB 9000 스텐, (현관, 방화문)",조,121,"7,425","898,425",-,-,-,-,"7,425","898,425",,,,,
"AG_11X10/200. 지하주차장/100mm불소수지,G",1.100 x 1.050 = 1.155,EA,,"131,983",-,"60,923",-,"10,136",-,"203,042",-,,,,,
"AG_15X05/200. 지하주차장/100mm불소수지,G,천창",1.500 x 0.500 = 0.750,EA,,"96,453",-,"44,517",-,"7,419",-,"148,389",-,,,,,
"AG_15X10/200. 지하주차장/100mm불소수지,G",1.500 x 1.000 = 1.500,EA,,"160,198",-,"73,881",-,"12,331",-,"246,410",-,,,,,
"AG_18.5X14/200. 지하주차장/100mm불소수지,G",1.850 x 1.400 = 2.590,EA,,"301,238",-,"139,115",-,"23,276",-,"463,629",-,,,,,
"AG_18X10/200. 지하주차장/100mm불소수지,G",1.800 x 1.000 = 1.800,EA,,"181,307",-,"83,704",-,"13,898",-,"278,909",-,,,,,
"AG_20.6X16/200. 지하주차장/100mm불소수지,G",2.060 x 1.600 = 3.296,EA,,"320,397",-,"147,867",-,"24,662",-,"492,926",-,,,,,
"AG_20X05/200. 지하주차장/100mm불소수지,G,천창",2.000 x 0.500 = 1.000,EA,,"116,308",-,"53,713",-,"8,987",-,"179,008",-,,,,,
"AG_21X10/200. 지하주차장/100mm불소수지,G",2.100 x 1.000 = 2.100,EA,,"208,582",-,"96,244",-,"15,988",-,"320,814",-,,,,,
"AG_22X15/200. 지하주차장/100mm불소수지,G",2.200 x 1.500 = 3.300,EA,,"320,501",-,"147,972",-,"24,662",-,"493,135",-,,,,,
"AG_23X14/200. 지하주차장/100mm불소수지,G",2.300 x 1.400 = 3.220,EA,,"315,381",-,"145,568",-,"24,244",-,"485,193",-,,,,,
"AG_36X10/200. 지하주차장/100mm불소수지,G",3.600 x 1.000 = 3.600,EA,,"347,462",-,"160,407",-,"26,752",-,"534,621",-,,,,,
"FSD_10X22/200. 지하주차장/F1.6t도장,D0.6t칼라",1.000 x 2.200 = 2.200,EA,,"150,477",-,"53,736",-,"10,742",-,"214,955",-,,,,,
"FSD_18X21/200. 지하주차장/F1.6t도장,D0.6t칼라",1.800 x 2.100 = 3.780,EA,,"258,540",-,"92,336",-,"18,466",-,"369,342",-,,,,,
"FSD_20X24/200. 지하주차장/F1.6t도장,D0.6t칼라",2.000 x 2.400 = 4.800,EA,,"328,314",-,"117,255",-,"23,450",-,"469,019",-,,,,,
"FSD_24X24/200. 지하주차장/F1.6t도장,D0.6t칼라",2.380 x 2.380 = 5.664,EA,,"387,407",-,"138,359",-,"27,669",-,"553,435",-,,,,,
SD_08X12/200. 지하주차장/볼트조임식,0.800 x 1.200 = 0.960,EA,,"67,023",-,"23,937",-,"4,787",-,"95,747",-,,,,,
"SD_09X18/200. 지하주차장/F1.6t도장,D0.6t칼라",0.900 x 1.800 = 1.620,EA,,"110,803",-,"39,570",-,"7,910",-,"158,283",-,,,,,
"FSD_18X21/F1.6t도장,D0.6t칼라",1.800 x 2.100 = 3.780,EA,,"231,616",-,"89,331",-,"9,922",-,"330,869",-,,,,,
"FSD_30X30/F1.6t도장,D0.6t칼라",3.000 x 3.000 = 9.000,EA,,"651,420",-,"251,262",-,"27,918",-,"930,600",-,,,,,
"FSD_11X22/F1.6t도장,D0.6t칼라",1.100 x 2.200 = 2.420,EA,,"202,664",-,"78,166",-,"8,679",-,"289,509",-,,,,,
"AG_30X12/100mm불소수지,G",3.000 x 1.200 = 3.600,EA,,"396,719",-,"183,254",-,"30,494",-,"610,467",-,,,,,
"AG_22X15/100mm불소수지,G",2.200 x 1.500 = 3.300,EA,,"365,519",-,"168,641",-,"28,116",-,"562,276",-,,,,,
"AG_19X09/100mm불소수지,G",1.900 x 0.900 = 1.710,EA,,"198,011",-,"91,399",-,"15,191",-,"304,601",-,,,,,
"SD_08X12/F1.6t도장,D0.8t/EGI",0.800 x 1.200 = 0.960,EA,,"79,618",-,"30,701",-,"3,410",-,"113,729",-,,,,,
"SD_10X21/F1.6t도장,D0.8t/EGI",1.000 x 2.100 = 2.100,EA,,"144,760",-,"55,836",-,"6,204",-,"206,800",-,,,,,
"FSD_08X12/F1.6t도장,D0.8t,칼라강판",0.810 x 1.210 = 0.980,EA,70,"202,664","14,186,480","78,166","5,471,620","8,679","607,530","289,509","20,265,630",,,,,
"FSD_09X22/F1.6t도장,D0.8t,칼라강판",0.900 x 2.200 = 1.980,EA,1,"202,664","202,664","78,166","78,166","8,679","8,679","289,509","289,509",,,,,
"★FSD_18X21/F1.6t도장,D0.8t,칼라강판",1.800 x 2.985 = 5.373,EA,5,"202,664","1,013,320","78,166","390,830","8,679","43,395","289,509","1,447,545",,,,,
"★FSD_30X30/F1.6t도장,D0.8t,칼라강판",3.000 x 2.985 = 8.955,EA,2,"202,664","405,328","78,166","156,332","8,679","17,358","289,509","579,018",,,,,
"SD_01/F1.6t도장,D0.6t/EGI",1.800 x 2.200 = 3.960,EA,9,"221,606","1,994,454","79,140","712,260","15,820","142,380","316,566","2,849,094",,,,,
"SD_09X21/F1.6t도장,D0.6t,칼라강판",0.900 x 2.085 = 1.876,EA,47,"110,803","5,207,741","39,570","1,859,790","7,910","371,770","158,283","7,439,301",,,,,
"SD_09X21A/F1.6t도장,D0.6t,칼라강판",0.900 x 2.085 = 1.876,EA,27,"110,803","2,991,681","39,570","1,068,390","7,910","213,570","158,283","4,273,641",,,,,
"★SD_11X22/F1.6t도장,D0.8t/EGI",1.100 x 2.200 = 2.420,EA,2,"221,606","443,212","79,140","158,280","15,820","31,640","316,566","633,132",,,,,
"SD_18X21/F1.6t도장,D0.6t,칼라강판",1.800 x 2.085 = 3.753,EA,1,"221,606","221,606","79,140","79,140","15,820","15,820","316,566","316,566",,,,,
"SD_20X21/F1.6t도장,D0.6t,칼라강판",2.000 x 2.085 = 4.170,EA,27,"221,606","5,983,362","79,140","2,136,780","15,820","427,140","316,566","8,547,282",,,,,
ASD_20X24.5/자동문및유리포함,2.000 x 2.450 = 4.900,EA,1,"987,987","987,987","352,852","352,852","70,570","70,570","1,411,409","1,411,409",,,,,
AW_01/그릴포함,0.600 x 1.600 = 0.960,EA,36,"148,808","5,357,088","68,656","2,471,616","11,390","410,040","228,854","8,238,744",,,,,
"★AG_10X12.5/칼라AL루버,불소수지",1.000 x 1.250 = 1.250,EA,2,"198,011","396,022","91,399","182,798","15,191","30,382","304,601","609,202",,,,,
"AG_19X09/칼라AL루버,불소수지",1.900 x 0.900 = 1.710,EA,60,"198,011","11,880,660","91,399","5,483,940","15,191","911,460","304,601","18,276,060",,,,,
"AG_22X18/칼라AL루버,불소수지",2.200 x 1.785 = 3.927,EA,39,"396,719","15,472,041","183,254","7,146,906","30,494","1,189,266","610,467","23,808,213",,,,,
"★AG_18X12.5/칼라AL루버,불소수지",1.800 x 1.250 = 2.250,EA,39,"396,719","15,472,041","183,254","7,146,906","30,494","1,189,266","610,467","23,808,213",,,,,
유리주위코킹,"5*5, 실리콘",M,266,122,"32,452",143,"38,038",-,-,265,"70,490",,,,,
도아록설치,"강재문, 재료비 별도",개소,165,-,-,"2,585","426,525",-,-,"2,585","426,525",,,,,
도아체크달기,재료비 별도,개소,88,-,-,"5,170","454,960",-,-,"5,170","454,960",,,,,
투명막설치/주차장휀룸 그릴부(배기),2200*1500,개소,,"205,197",-,"73,278",-,"14,650",-,"293,125",-,,,,,
투명막설치/주차장휀룸 그릴부(배기),3600*1000,개소,,"224,191",-,"80,062",-,"16,006",-,"320,259",-,,,,,
자동폐쇄장치,도어용,EA,3,"94,094","282,282","36,289","108,867","4,026","12,078","134,409","403,227",,,,,
강화유리,8mm(공동주택에 적용),M2,17,"20,130","342,210","3,600","61,200",-,-,"23,730","403,410",,,,,
강화유리,10mm(공동주택에 적용),M2,10,"25,881","258,810","3,600","36,000",-,-,"29,481","294,810",,,,,
[ 합           계 ],,,,,"89,442,196",,"36,022,196",,"5,692,344",,"131,156,736",,,,,
010313  도  장  공  사,,,,,,,,,,,,,,,,
녹막이페인트칠(뿜칠),"철재면, 1회(뿜칠)",M2,707,"2,585","1,827,595","4,653","3,289,671",-,-,"7,238","5,117,266",,,,,
조합페인트칠,철재면 2회(뿜칠),M2,250,640,"160,000","1,493","373,250",-,-,"2,133","533,250",,,,,
불소수지페인트칠,철재면 2회(뿜칠),M2,453,"2,585","1,171,005","4,653","2,107,809",-,-,"7,238","3,278,814",,,,,
수성페인트(로울러칠),내벽 2회. 1급,M2,"24,969",479,"11,960,151",693,"17,303,517",-,-,"1,172","29,263,668",,,,,
수성페인트(로울러칠),외벽 2회. 1급,M2,80,640,"51,200","1,920","153,600",-,-,"2,560","204,800",,,,,
수성페인트(로울러칠),내천정 2회. 1급,M2,163,479,"78,077",693,"112,959",-,-,"1,172","191,036",,,,,
수성페인트(로울러칠),내천정 2회. 1급(단열재면),M2,,693,-,"1,920",-,-,-,"2,613",-,,,,,
수성페인트(로울러칠),외천정 2회. 1급,M2,,640,-,"1,920",-,-,-,"2,560",-,,,,,
걸레받이용 페인트칠,"모르타르면, 2회(붓칠)",M2,5,426,"2,130","5,335","26,675",-,-,"5,761","28,805",,,,,
에폭시코팅,주차장바닥,M2,"30,148","1,600","48,236,800","1,280","38,589,440",880,"26,530,240","3,760","113,356,480",,,,,
에폭시엠보코팅,주차장바닥,M2,"23,968","6,257","149,967,776","4,684","112,266,112",-,-,"10,941","262,233,888",,,,,
에폭시페인트,램프진입부바닥,M2,,"1,600",-,"1,280",-,880,-,"3,760",-,,,,,
석재뿜칠 A,황가진주 계열,M2,,"7,469",-,"8,536",-,-,-,"16,005",-,,,,,
석재뿜칠 C,포천석 계열,M2,,"7,469",-,"8,536",-,-,-,"16,005",-,,,,,
석재뿜칠,벽,M2,-104,"7,469","-776,776","8,536","-887,744",-,-,"16,005","-1,664,520",,,,,
지정흡음뿜칠,,M2,"69,514","2,400","166,833,600","1,400","97,319,600",-,-,"3,800","264,153,200",,,,,
라인마킹(실선),융창식,m,"21,693",320,"6,941,760",640,"13,883,520",-,-,960,"20,825,280",,,,,
장애인주차마크,바닥,EA,59,"6,402","377,718","6,402","377,718",-,-,"12,804","755,436",,,,,
안전보행통로,"바닥,W1200",M,,"90,800",-,"32,320",-,"6,380",-,"129,500",-,,,,,
숫자기둥,,조,654,"4,268","2,791,272","6,402","4,186,908",-,-,"10,670","6,978,180",,,,,
출구표시기둥,,조,3,"5,335","16,005","10,670","32,010",-,-,"16,005","48,015",,,,,
안전기둥,,조,,"5,335",-,"10,670",-,-,-,"16,005",-,,,,,
동출입구기둥,,조,,"5,335",-,"10,670",-,-,-,"16,005",-,,,,,
동출입구강조벽 A,,조,,"160,050",-,"373,450",-,-,-,"533,500",-,,,,,
동출입구강조벽 B,,조,,"160,050",-,"373,450",-,-,-,"533,500",-,,,,,
층안내벽,,조,,"160,050",-,"373,450",-,-,-,"533,500",-,,,,,
출구유도벽,,조,,"160,050",-,"373,450",-,-,-,"533,500",-,,,,,
램프벽체 그래픽 A,출입표시,조,,"213,400",-,"533,500",-,-,-,"746,900",-,,,,,
램프벽체 그래픽 B,층표시,조,,"213,400",-,"533,500",-,-,-,"746,900",-,,,,,
램프벽체 그래픽 B,진입표시,조,,"213,400",-,"533,500",-,-,-,"746,900",-,,,,,
외부계단실 벽면 그래픽,출입표시,조,,"160,050",-,"480,150",-,-,-,"640,200",-,,,,,
외부계단실 벽면 그래픽,층간표시,조,,"160,050",-,"480,150",-,-,-,"640,200",-,,,,,
장애인주차기둥,,조,39,"5,335","208,065","10,670","416,130",-,-,"16,005","624,195",,,,,
동출입구강조벽,,조,52,"160,050","8,322,600","373,450","19,419,400",-,-,"533,500","27,742,000",,,,,
[ 합           계 ],,,,,"398,168,978",,"308,970,575",,"26,530,240",,"733,669,793",,,,,
010314  수  장  공  사,,,,,,,,,,,,,,,,
단열재타설부착(천정),"비드법2종1호,80mm",M2,,"9,680",-,"2,200",-,-,-,"11,880",-,,,,,
단열재타설부착(천정),"비드법2종1호,100mm",M2,,"12,100",-,"2,200",-,-,-,"14,300",-,,,,,
PVC판넬 설치,방습벽 구간,M2,"2,533","30,000","75,990,000","10,000","25,330,000",-,-,"40,000","101,320,000",,,,,
단열재타설부착(천정),"비드법2종1호,200mm",M2,,"24,200",-,"4,000",-,-,-,"28,200",-,,,,,
단열재타설부착(천정),"비드법2종3호,180mm",M2,,"18,018",-,"4,000",-,-,-,"22,018",-,,,,,
단열재타설부착(천정),"비드법2종2호,150mm",M2,"2,019","18,018","36,378,342","4,000","8,076,000",-,-,"22,018","44,454,342",,,,,
[ 합           계 ],,,,,"112,368,342",,"33,406,000",,-,,"145,774,342",,,,,
010315  부  대  공  사,,,,,,,,,,,,,,,,
콘크리트연석,"300*150, 안전페인트",M,229,"5,500","1,259,500","11,000","2,519,000",-,-,"16,500","3,778,500",,,,,
원형강재집수정,"Ø1430xH1219,커버포함",EA,32,"330,000","10,560,000",-,-,-,-,"330,000","10,560,000",,,,,
원형강재집수정(영구배수),"Ø1760xH1524,커버포함",EA,18,"3,192,000","57,456,000",-,-,-,-,"3,192,000","57,456,000",,,,,
EPS 블록 바닥설치,H=200,M2,,"9,000",-,"1,800",-,-,-,"10,800",-,,,,,
카스톱퍼,"네오프렌계, 150*100*750mm",개소,"1,940","28,600","55,484,000",-,-,-,-,"28,600","55,484,000",,,,,
카스톱퍼,"네오프렌계, 150*120*750mm",개소,,"28,600",-,-,-,-,-,"28,600",-,,,,,
주차장코너가드,"네오프렌계, 80*80*15*1000mm",M,"1,895","6,160","11,673,200",-,-,-,-,"6,160","11,673,200",,,,,
주차장코너가드,"네오프렌계, 90*90*15*1000mm",M,,"6,160",-,-,-,-,-,"6,160",-,,,,,
원형강재집수정,"Ø1200,커버포함",EA,-,"3,192,000",-,-,-,-,-,"3,192,000",-,,,,,
장애인전용주차구역 안내표지판,"700*600, H:2100",개소,59,"100,000","5,900,000",-,-,-,-,"100,000","5,900,000",,,,,
과속방지턱,"L7000*W1500,안전페인트 포함",개소,8,"385,000","3,080,000",-,-,-,-,"385,000","3,080,000",,,,,
음식물쓰레기 종량 처리기,RFID / 700x700x1800 / 26SET,식,1,"45,490,000","45,490,000",-,-,-,-,"45,490,000","45,490,000",,,,,
[ 합           계 ],,,,,"190,902,700",,"2,519,000",,-,,"193,421,700",,,,,
010316  골    재    비,,,,,,,,,,,,,,,,
모래,,M3,49,"16,800","828,391",-,-,-,-,"16,800","828,391",,,,,
시멘트,40KG,포,"1,479","4,500","6,654,478",-,-,-,-,"4,500","6,654,478",,,,,
